nit,fecha_corte,Patrimonio_Total,Activo_Total,Pasivo_Total,Tamano_Empresa,Razon_Endeudamiento,Insolvencia_Tecnica,Ano_Corte,Fuente,Pais_Matriz
800254908,2016-12-31,,,593206.0,,,No,2016,SIREM - Supersociedades,COL
800254908,2021-12-31,,1213074.0,,Pequeña,,No,2021,SIREM - Supersociedades,COL
800254966,2016-12-31,,,28178.0,,,No,2016,SIREM - Supersociedades,COL
800255589,2018-12-31,,,3311369.0,,,No,2018,SIREM - Supersociedades,COL
800255589,2020-12-31,,,5032390.0,,,No,2020,SIREM - Supersociedades,COL
800255686,2019-12-31,2053341.0,5343369.0,,Pequeña,,No,2019,SIREM - Supersociedades,COL
800255713,2020-12-31,,103978091.0,,Grande,,No,2020,SIREM - Supersociedades,COL
800255713,2021-12-31,,98527242.0,,Grande,,No,2021,SIREM - Supersociedades,COL
800255754,2018-12-31,,,55665800.0,,,No,2018,SIREM - Supersociedades,COL
800255754,2019-12-31,,63863231.0,,Grande,,No,2019,SIREM - Supersociedades,COL
800256059,2019-12-31,23344925.0,,,,,No,2019,SIREM - Supersociedades,COL
800256132,2016-12-31,635404.0,,,,,No,2016,SIREM - Supersociedades,COL
800256143,2016-12-31,3077069.0,,1217342.0,,,No,2016,SIREM - Supersociedades,COL
800256143,2019-12-31,5669564.0,,,,,No,2019,SIREM - Supersociedades,COL
800256143,2020-12-31,,,1209045.0,,,No,2020,SIREM - Supersociedades,COL
800256215,2018-12-31,1931220.0,,,,,No,2018,SIREM - Supersociedades,COL
800256293,2018-12-31,,3006312.0,,Pequeña,,No,2018,SIREM - Supersociedades,COL
800256322,2021-12-31,,,2415433.0,,,No,2021,SIREM - Supersociedades,COL
800256429,2020-12-31,,,632569.0,,,No,2020,SIREM - Supersociedades,COL
800256429,2021-12-31,,6388176.0,,Pequeña,,No,2021,SIREM - Supersociedades,COL
800256513,2019-12-31,3568776.0,,,,,No,2019,SIREM - Supersociedades,COL
800256551,2018-12-31,5359375.0,,,,,No,2018,SIREM - Supersociedades,COL
800256551,2020-12-31,,,9380272.0,,,No,2020,SIREM - Supersociedades,COL
800256724,2016-12-31,1549393.0,,,,,No,2016,SIREM - Supersociedades,COL
800256725,2020-12-31,,,1162394.0,,,No,2020,SIREM - Supersociedades,COL
800256747,2019-12-31,,11303738.0,,Mediana,,No,2019,SIREM - Supersociedades,COL
800256747,2020-12-31,,11478030.0,,Mediana,,No,2020,SIREM - Supersociedades,COL
800256897,2020-12-31,,,2579627.0,,,No,2020,SIREM - Supersociedades,COL
801000091,2016-12-31,,,26217184.0,,,No,2016,SIREM - Supersociedades,COL
801000577,2020-12-31,14727773.0,,,,,No,2020,SIREM - Supersociedades,COL
801001535,2019-12-31,348336.0,,,,,No,2019,SIREM - Supersociedades,COL
801001540,2018-12-31,5698192.0,,,,,No,2018,SIREM - Supersociedades,COL
801001608,2016-12-31,,,12541867.0,,,No,2016,SIREM - Supersociedades,COL
801001608,2018-12-31,4863758.0,,,,,No,2018,SIREM - Supersociedades,COL
801001676,2018-12-31,7462558.0,,,,,No,2018,SIREM - Supersociedades,COL
801001699,2016-12-31,,,5962897.0,,,No,2016,SIREM - Supersociedades,COL
801001699,2019-12-31,,,10918139.0,,,No,2019,SIREM - Supersociedades,COL
801001885,2019-12-31,22026569.0,,,,,No,2019,SIREM - Supersociedades,COL
801002297,2016-12-31,437796.0,949680.0,,Pequeña,,No,2016,SIREM - Supersociedades,COL
801002376,2018-12-31,5931499.0,,,,,No,2018,SIREM - Supersociedades,COL
801002376,2020-12-31,,18506371.0,,Mediana,,No,2020,SIREM - Supersociedades,COL
801002644,2018-12-31,,,66780021.0,,,No,2018,SIREM - Supersociedades,COL
801002800,2020-12-31,,147884.0,56686.0,Micro,0.3833139487706581,No,2020,SIREM - Supersociedades,COL
801002806,2019-12-31,-1556202.0,,,,,Sí,2019,SIREM - Supersociedades,COL
801002927,2016-12-31,1016841.0,,,,,No,2016,SIREM - Supersociedades,COL
801003061,2021-12-31,,,843148.0,,,No,2021,SIREM - Supersociedades,COL
801003278,2018-12-31,,,4934349.0,,,No,2018,SIREM - Supersociedades,COL
801003396,2016-12-31,653718.0,,,,,No,2016,SIREM - Supersociedades,COL
801003457,2018-12-31,15951969.0,,,,,No,2018,SIREM - Supersociedades,COL
801003457,2021-12-31,16985967.0,,,,,No,2021,SIREM - Supersociedades,COL
801003662,2020-12-31,,,839637.0,,,No,2020,SIREM - Supersociedades,COL
801003898,2016-12-31,,,33363148.0,,,No,2016,SIREM - Supersociedades,COL
801003935,2016-12-31,,38162783.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
801003935,2019-12-31,,,12289986.0,,,No,2019,SIREM - Supersociedades,COL
801004045,2016-12-31,,75267786.0,,Grande,,No,2016,SIREM - Supersociedades,COL
801004045,2019-12-31,,164264818.0,91643897.0,Grande,0.5579033789207376,No,2019,SIREM - Supersociedades,COL
801004063,2019-12-31,3282957.0,,,,,No,2019,SIREM - Supersociedades,COL
801004197,2016-12-31,1296967.0,,,,,No,2016,SIREM - Supersociedades,COL
801004232,2016-12-31,,,11331407.0,,,No,2016,SIREM - Supersociedades,COL
801004232,2018-12-31,1875453.0,,,,,No,2018,SIREM - Supersociedades,COL
801004314,2019-12-31,47199338.0,,,,,No,2019,SIREM - Supersociedades,COL
